Mg2SiO3,,,,,,,Mg4SiO3,,,,,,Mg3SiO4,,,,
Energy,PDOS,,,,,,Energy,PDOS,,,,,Energy,PDOS,,,
eV,Mg 3s,Si 3p,O 2p,ISQ,,,eV,Mg 3s,Si 3p,O 2p,,,eV,Mg 3s,Si 3p,O 2p,ISQ
,,,,,,,,,,,,,,,,,
-29.10617,0.06472,0.12082,0.02593,0.02942,,,-35.09368,0.01478,0.04843,0.05722,,,-27.09965,0.1145,0.05839,0.03704,0.03774
-29.07217,0.06424,0.1227,0.0261,0.02912,,,-35.05168,0.01443,0.04708,0.05682,,,-27.06465,0.11972,0.06266,0.03728,0.03664
-29.03817,0.06296,0.12303,0.02602,0.02858,,,-35.00868,0.0142,0.04584,0.05644,,,-27.02965,0.12424,0.06665,0.03754,0.03562
-29.00517,0.06096,0.12199,0.02572,0.02782,,,-34.96668,0.0141,0.04494,0.05628,,,-26.99465,0.12806,0.0703,0.03786,0.03472
-28.97117,0.05844,0.11971,0.02522,0.02688,,,-34.92368,0.01408,0.04448,0.05643,,,-26.95865,0.13116,0.07358,0.03822,0.03396
-28.93717,0.05556,0.11628,0.0245,0.02576,,,-34.88168,0.01409,0.04446,0.05692,,,-26.92365,0.13344,0.07632,0.03862,0.03336
-28.90317,0.05228,0.11168,0.02356,0.02444,,,-34.83968,0.01405,0.04468,0.05763,,,-26.88865,0.13472,0.07845,0.03907,0.03298
-28.86917,0.04872,0.10595,0.02241,0.02296,,,-34.79668,0.01393,0.04492,0.05831,,,-26.85365,0.1349,0.07991,0.03959,0.03282
-28.83517,0.04492,0.09918,0.02106,0.02132,,,-34.75468,0.01368,0.04498,0.05879,,,-26.81765,0.13394,0.08077,0.0402,0.03292
-28.80117,0.041,0.09172,0.01961,0.01961,,,-34.71168,0.01334,0.04487,0.05893,,,-26.78265,0.13218,0.08125,0.04094,0.03326
-28.76717,0.03719,0.08406,0.01815,0.0179,,,-34.66968,0.0129,0.04457,0.05866,,,-26.74765,0.13004,0.08162,0.0418,0.03376
-28.73317,0.03378,0.07696,0.01685,0.01635,,,-34.62668,0.0124,0.04424,0.05805,,,-26.71165,0.128,0.08217,0.0427,0.0343
-28.69917,0.03109,0.07122,0.01586,0.01508,,,-34.58468,0.01185,0.044,0.05705,,,-26.67665,0.1266,0.08324,0.04359,0.03472
-28.66517,0.02936,0.06757,0.01531,0.01421,,,-34.54168,0.01126,0.04391,0.05587,,,-26.64165,0.12616,0.08495,0.04439,0.03492
-28.63117,0.02874,0.06645,0.01527,0.01379,,,-34.49968,0.01069,0.04407,0.05459,,,-26.60665,0.12684,0.08729,0.04506,0.03484
-28.59717,0.02924,0.06787,0.01578,0.01385,,,-34.45668,0.01017,0.04436,0.05344,,,-26.57065,0.12854,0.09023,0.04559,0.0345
-28.56317,0.03069,0.07149,0.01675,0.01435,,,-34.41468,0.00976,0.04467,0.05258,,,-26.53565,0.1312,0.09364,0.0461,0.03402
-28.52917,0.03278,0.07662,0.01811,0.0152,,,-34.37168,0.0095,0.04484,0.0521,,,-26.50065,0.13464,0.09747,0.04671,0.03356
-28.49617,0.03514,0.08222,0.01967,0.01631,,,-34.32968,0.00941,0.04473,0.05197,,,-26.46565,0.13872,0.10164,0.04756,0.03332
-28.46217,0.03735,0.08737,0.0213,0.01757,,,-34.28668,0.00944,0.04424,0.05215,,,-26.42965,0.14314,0.10607,0.04881,0.0334
-28.42817,0.03906,0.09115,0.02282,0.01884,,,-34.24468,0.00951,0.04341,0.05241,,,-26.39465,0.1477,0.11064,0.05048,0.0339
-28.39417,0.04,0.09292,0.02409,0.02,,,-34.20268,0.00955,0.04243,0.0527,,,-26.35965,0.15196,0.11516,0.05252,0.03478
-28.36017,0.04004,0.09241,0.02498,0.02096,,,-34.15968,0.0095,0.04157,0.05288,,,-26.32365,0.15556,0.11934,0.05472,0.03588
-28.32617,0.03912,0.08964,0.02544,0.02158,,,-34.11768,0.00932,0.04115,0.05291,,,-26.28865,0.15806,0.12292,0.05686,0.037
-28.29217,0.03738,0.08501,0.0254,0.0218,,,-34.07468,0.00901,0.04135,0.05276,,,-26.25365,0.15912,0.1255,0.05867,0.03792
-28.25817,0.03501,0.07908,0.02491,0.0216,,,-34.03268,0.00861,0.04227,0.05233,,,-26.21865,0.15856,0.12676,0.05987,0.03846
-28.22417,0.03226,0.07262,0.02401,0.02098,,,-33.98968,0.00815,0.04382,0.05158,,,-26.18265,0.15622,0.1266,0.06038,0.03852
-28.19017,0.02944,0.06643,0.02283,0.01999,,,-33.94768,0.00771,0.0457,0.05048,,,-26.14765,0.15232,0.12498,0.06024,0.03812
-28.15617,0.02682,0.06125,0.02151,0.01873,,,-33.90468,0.00735,0.04754,0.04911,,,-26.11265,0.14722,0.1223,0.05961,0.03744
-28.12217,0.02466,0.05768,0.02022,0.01734,,,-33.86268,0.00713,0.04896,0.0477,,,-26.07765,0.14156,0.11912,0.05885,0.0367
-28.08817,0.02314,0.05609,0.01909,0.01593,,,-33.81968,0.00712,0.04964,0.04655,,,-26.04165,0.13612,0.11622,0.05829,0.03608
-28.05417,0.02235,0.05666,0.01824,0.01463,,,-33.77768,0.00737,0.04955,0.04595,,,-26.00665,0.1315,0.11432,0.05814,0.0357
-28.02017,0.02228,0.05919,0.01773,0.01351,,,-33.73468,0.00794,0.04886,0.04607,,,-25.97165,0.12832,0.11398,0.05847,0.03554
-27.98617,0.02284,0.06323,0.01755,0.01264,,,-33.69268,0.00885,0.04801,0.04695,,,-25.93665,0.1268,0.11546,0.05925,0.03546
-27.95317,0.02386,0.06809,0.01766,0.01201,,,-33.65068,0.0101,0.04752,0.04843,,,-25.90065,0.12686,0.11862,0.06022,0.03526
-27.91917,0.02514,0.073,0.01794,0.01159,,,-33.60768,0.01168,0.04795,0.05032,,,-25.86565,0.1282,0.12304,0.06117,0.03476
-27.88517,0.02654,0.07722,0.01829,0.01134,,,-33.56568,0.01353,0.04961,0.05237,,,-25.83065,0.13032,0.1282,0.06194,0.0339
-27.85117,0.02793,0.08014,0.01858,0.01118,,,-33.52268,0.01558,0.05256,0.05446,,,-25.79465,0.1327,0.13356,0.0624,0.0327
-27.81717,0.02927,0.08149,0.01878,0.01106,,,-33.48068,0.01774,0.0566,0.05648,,,-25.75965,0.1349,0.13859,0.06263,0.03134
-27.78317,0.03058,0.08124,0.01886,0.01096,,,-33.43768,0.01994,0.06124,0.05842,,,-25.72465,0.13654,0.14306,0.06278,0.03
-27.74917,0.03193,0.07971,0.01887,0.01087,,,-33.39568,0.02206,0.06607,0.06024,,,-25.68965,0.13736,0.14688,0.06296,0.0289
